,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.13838464009196108,0.5068271217789089,0.19523909794469121,0.42053616830005486,0.49689030702212555,R
1,0.4966038356587018,0.1249042301569358,0.35550991176271474,0.5347895474659923,0.30646322562782446,R
2,0.5704448586253331,0.5732585604018289,0.47463028802269364,0.30077471638335107,0.21991248358635335,R
3,0.4287856598964309,0.8589705510808812,0.7385562083925258,0.4175359029688734,0.629197072184371,M
4,0.432775669884534,0.2923450379328295,0.20611375310798177,0.5272957606339365,0.20979509663506093,R
5,0.5016357607516406,0.627414374948076,0.8369739696740757,0.4434018607658161,0.6305673297913204,M
6,0.268254494524367,0.0465782440603707,0.4452430480121659,0.10394208298833345,0.5434319543981362,R
7,0.944157502242805,0.4601506915745275,0.45048758686188667,0.46953992506586517,0.7655837940238721,M
8,0.8525414037833903,0.4217369925204622,0.9382745333774765,0.4412658521963214,0.8396247745979789,M
9,0.8328271033106596,0.894973026209614,0.7339519838239275,0.6258102753253854,0.5156124982053741,M
10,0.17430738269725424,0.05882648433112335,0.55716836660394,0.16611540237382683,0.06371588112027898,R
11,0.8393232170715663,0.5189634659665943,0.5623266929174429,0.6335318746842369,0.9915610359489626,M
12,0.8207193875744664,0.5470636326448541,0.942446072464656,0.7708796077237057,0.7202386353176018,M
13,0.4189034378653292,0.49612550458121296,0.27163965473462953,0.05078234440481853,0.5524843385012341,R
14,0.21650657538642082,0.39210850049603924,0.44030766481745953,0.3734968490818862,0.5722450991224627,R
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,0.24175193682847895,0.5122996288153031,0.3256279620949669,0.24208722403399768,0.5510203192875084,R
45,0.6919483849346614,0.706628273349217,0.45955993355116875,0.5742122248687025,0.49145766882040987,M
46,0.4226573815438786,0.28328341878494595,0.007055349266519166,0.4358949584686219,0.5098203812889835,R
47,0.2790007666625039,0.20323960754217815,0.15448164352660276,0.41112311029979826,0.009514688676989593,R
48,0.681808664202838,0.41343850281382244,0.7252281141364281,0.9581816601567812,0.4189078697361045,M
49,0.7391525570097677,0.6129777297045433,0.7614120550421959,0.4645403458114205,0.6668771526720464,M
50,0.5319553293579342,0.7861440891666998,0.812158768002166,0.5072186149351257,0.7726551518171453,M
51,0.011269958741314909,0.5209890832338006,0.055972681617097925,0.11492062773681389,0.04917823245382263,R
52,0.34549890593809546,0.12151727902289458,0.026497729065056454,0.4013013725500299,0.3570033627620992,R
53,0.05835190850757735,0.364687743761589,0.4630011207370687,0.49809666787124796,0.07400745053315262,R
54,0.2549124225285451,0.18654971529212908,0.23200163866192638,0.2946846414786477,0.39261614911699755,R
55,0.47413051082027924,0.5584821600256926,0.04429214858494327,0.023172344170775763,0.5549324856496077,R
56,0.9752602156143935,0.7605496056317427,0.8611159969903918,0.5013121933497783,0.8893321058258836,M
